query_id,query_name,query_complexity,category,selected_form_id,selected_form_group,field_recall,operator_support,context_support,query_realizable,missing_fields,unsupported_fields
D1,Male patient cohort,easy,demographic,aqf_demographic_data_46638,Demographic data,0.0,0.0,1.0,False,gender,
D2,Patients born before 01-01-1970,easy,demographic,aqf_demographic_data_46638,Demographic data,1.0,1.0,1.0,True,,
D3,Brazilian nationality cohort,easy,demographic,aqf_demographic_data_46638,Demographic data,0.0,0.0,1.0,False,nationality,
D4,Higher education demographic filter,easy,demographic,aqf_demographic_data_46638,Demographic data,0.0,0.0,1.0,False,educational level,
DX1,Breast cancer primary diagnosis cohort,easy,diagnosis,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,1.0,1.0,1.0,True,,
DX2,Hypertension as secondary diagnosis,easy,diagnosis,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,1.0,1.0,1.0,True,,
DX3,Colon topography cohort,medium,diagnosis,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,0.0,0.0,0.5,False,topography,
DX4,Stage III disease cohort,medium,diagnosis,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,0.0,0.0,0.5,False,Clinical staging,
TP1,Biopsy procedure cohort,easy,treatment_procedure,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,1.0,1.0,1.0,True,,
TP2,FOLFOX chemotherapy schema cohort,medium,treatment_procedure,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,0.0,0.0,0.0,False,schema,
TP3,Pelvic radiotherapy fields cohort,medium,treatment_procedure,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,0.0,0.0,0.0,False,fields/insertions 1; fields/insertions 2,
TP4,Treatment duration greater than 90 days,medium,treatment_procedure,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,0.0,0.0,0.0,False,duration of treatment,
TM1,Records issued after 01-01-2022,easy,temporal,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,1.0,1.0,1.0,True,,
TM2,Discharge records in January 2023,medium,temporal,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,0.0,0.0,1.0,False,date of discharge,
TM3,Chemotherapy beginning after 01-06-2021,medium,temporal,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,0.0,0.0,0.0,False,date of beginning of chemotherapy,
TM4,Pathological identification in 2020,medium,temporal,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,0.0,0.0,0.0,False,date of pathological identification,
CX1,Breast cancer plus biopsy cohort,hard,cross_context,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,1.0,1.0,1.0,True,,
CX2,Patients older than 60 with lung cancer,hard,cross_context,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,birth date,
CX3,São Paulo patients on FOLFOX treatment,hard,cross_context,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,0.5,0.5,0.5,False,schema,
CX4,Stage III biopsy cohort with chemotherapy beginning after 01-01-2022,hard,cross_context,aqf_outpatient_high_complexity_procedures_69292,Outpatient high complexity procedures,0.3333333333333333,0.3333333333333333,0.6666666666666666,False,Clinical staging; date of beginning of chemotherapy,
